id,fullpath,dcTitle,entity,uri
9578,"/Persone/Auber, Daniel-François-Esprit (9578)",Daniel François Esprit Auber,Q157672,https://www.wikidata.org/wiki/Q157672
9579,"/Persone/Barber, Samuel (9579)",Samuel Barber,Q216870,https://www.wikidata.org/wiki/Q216870
9580,"/Persone/Bartók, Béla (9580)",Béla Bartók,Q83326,https://www.wikidata.org/wiki/Q83326
9581,"/Persone/Beethoven, Ludwig van (9581)",Ludwig van Beethoven,Q255,https://www.wikidata.org/wiki/Q255
9582,"/Persone/Bellini, Vincenzo (9582)",Vincenzo Bellini,Q170209,https://www.wikidata.org/wiki/Q170209
9583,"/Persone/Berlioz, Hector (9583)",Hector Berlioz,Q1151,https://www.wikidata.org/wiki/Q1151
9584,"/Persone/Bizet, Georges (9584)",Georges Bizet,Q56158,https://www.wikidata.org/wiki/Q56158
9585,"/Persone/Boito, Arrigo (9585)",Arrigo Boito,Q219491,https://www.wikidata.org/wiki/Q219491
9586,"/Persone/Borodin, Aleksandr P. (9586)",Alexander Borodin,Q164004,https://www.wikidata.org/wiki/Q164004
9588,"/Persone/Čajkovskij, Pëtr Il'ič (9588)",Pyotr Ilyich Tchaikovsky,Q7315,https://www.wikidata.org/wiki/Q7315
9589,"/Persone/Catalani, Alfredo (9589)",Alfredo Catalani,Q352722,https://www.wikidata.org/wiki/Q352722
9590,"/Persone/Charpentier, Gustave (9590)",Gustave Charpentier,Q311663,https://www.wikidata.org/wiki/Q311663
9591,"/Persone/Cherubini, Luigi (9591)",Luigi Cherubini,Q20721,https://www.wikidata.org/wiki/Q20721
9592,"/Persone/Cilea, Francesco (9592)",Francesco Cilea,Q250952,https://www.wikidata.org/wiki/Q250952
9593,"/Persone/Cimarosa, Domenico (9593)",Domenico Cimarosa,Q191775,https://www.wikidata.org/wiki/Q191775
9594,"/Persone/Debussy, Claude (9594)",Claude Debussy,Q4700,https://www.wikidata.org/wiki/Q4700
9595,"/Persone/Delibes, Léo (9595)",Léo Delibes,Q207951,https://www.wikidata.org/wiki/Q207951
9596,"/Persone/Donizetti, Gaetano (9596)",Gaetano Donizetti,Q101698,https://www.wikidata.org/wiki/Q101698
9597,"/Persone/Flotow, Friedrich von (9597)",Friedrich von Flotow,Q155425,https://www.wikidata.org/wiki/Q155425
9598,"/Persone/Gershwin, George (9598)","Gershwin, George",,
9599,"/Persone/Giordano, Umberto (9599)",Umberto Giordano,Q294826,https://www.wikidata.org/wiki/Q294826
9600,"/Persone/Glinka, Mikhail (9600)",Mikhail Glinka,Q181885,https://www.wikidata.org/wiki/Q181885
9601,"/Persone/Gluck, Christoph Willibald (9601)",Christoph Willibald von Gluck,Q130759,https://www.wikidata.org/wiki/Q130759
9602,"/Persone/Gounod, Charles (9602)",Charles Gounod,Q180278,https://www.wikidata.org/wiki/Q180278
9603,"/Persone/Händel, Georg Friedrich (9603)",George Frideric Handel,Q7302,https://www.wikidata.org/wiki/Q7302
9604,"/Persone/Haydn, Franz Joseph (9604)",Joseph Haydn,Q7349,https://www.wikidata.org/wiki/Q7349
9605,"/Persone/Honegger, Arthur (9605)",Arthur Honegger,Q123164,https://www.wikidata.org/wiki/Q123164
9606,"/Persone/Humperdinck, Engelbert (9606)",Engelbert Humperdinck,Q55010,https://www.wikidata.org/wiki/Q55010
9607,"/Persone/Janácek, Leós (9607)",Leoš Janáček,Q184933,https://www.wikidata.org/wiki/Q184933
9608,"/Persone/Leoncavallo, Ruggero (9608)",Ruggero Leoncavallo,Q189015,https://www.wikidata.org/wiki/Q189015
9609,"/Persone/Lualdi, Adriano (9609)",Adriano Lualdi,Q3605740,https://www.wikidata.org/wiki/Q3605740
9610,"/Persone/Martini, Giovanni Battista (9610)",Giovanni Battista Sammartini,Q217435,https://www.wikidata.org/wiki/Q217435
9611,"/Persone/Mascagni, Pietro (9611)",Pietro Mascagni,Q181894,https://www.wikidata.org/wiki/Q181894
9612,"/Persone/Massenet, Jules (9612)",Jules Massenet,Q194436,https://www.wikidata.org/wiki/Q194436
9613,"/Persone/Menotti, Giancarlo (9613)",Gian Carlo Menotti,Q270662,https://www.wikidata.org/wiki/Q270662
9614,"/Persone/Mercadante, Saverio (9614)",Saverio Mercadante,Q313980,https://www.wikidata.org/wiki/Q313980
9615,"/Persone/Meyerbeer, Giacomo (9615)",Giacomo Meyerbeer,Q105237,https://www.wikidata.org/wiki/Q105237
9616,"/Persone/Milhaud, Darius (9616)",Darius Milhaud,Q186264,https://www.wikidata.org/wiki/Q186264
9617,"/Persone/Monteverdi, Claudio (9617)",Claudio Monteverdi,Q53068,https://www.wikidata.org/wiki/Q53068
9618,"/Persone/Mozart, Wolfgang Amadeus (9618)",Wolfgang Amadeus Mozart,Q254,https://www.wikidata.org/wiki/Q254
9619,"/Persone/Musorgskij, Modest (9619)",Modest Petrovich Mussorgsky,Q132682,https://www.wikidata.org/wiki/Q132682
9620,"/Persone/Nicolai, Otto (9620)",Otto Nicolai,Q154602,https://www.wikidata.org/wiki/Q154602
9621,"/Persone/Offenbach, Jacques (9621)",Jacques Offenbach,Q41555,https://www.wikidata.org/wiki/Q41555
9622,"/Persone/Pacini, Giovanni (9622)",Giovanni Pacini,Q357022,https://www.wikidata.org/wiki/Q357022
9623,"/Persone/Paisiello, Giovanni (9623)",Giovanni Paisiello,Q202303,https://www.wikidata.org/wiki/Q202303
9624,"/Persone/Pergolesi, Giovanni Battista (9624)",Giovanni Battista Pergolesi,Q185312,https://www.wikidata.org/wiki/Q185312
9625,"/Persone/Ponchielli, Amilcare (9625)",Amilcare Ponchielli,Q207390,https://www.wikidata.org/wiki/Q207390
9626,"/Persone/Poulenc, Francis (9626)",Francis Poulenc,Q191408,https://www.wikidata.org/wiki/Q191408
9627,"/Persone/Prokof'ev, Sergej (9627)",Sergei Prokofiev,Q49481,https://www.wikidata.org/wiki/Q49481
9628,"/Persone/Puccini, Giacomo (9628)",Giacomo Puccini,Q7311,https://www.wikidata.org/wiki/Q7311
9629,"/Persone/Purcell, Henry (9629)",Henry Purcell,Q9695,https://www.wikidata.org/wiki/Q9695
9630,"/Persone/Rameau, Jean-Philippe (9630)",Jean-Philippe Rameau,Q1145,https://www.wikidata.org/wiki/Q1145
9631,"/Persone/Ravel, Maurice (9631)",Maurice Ravel,Q1178,https://www.wikidata.org/wiki/Q1178
9632,"/Persone/Respighi, Ottorino (9632)",Ottorino Respighi,Q243837,https://www.wikidata.org/wiki/Q243837
9633,"/Persone/Rossini, Gioachino (9633)",Gioachino Rossini,Q9726,https://www.wikidata.org/wiki/Q9726
9634,"/Persone/Scarlatti, Alessandro (9634)",Alessandro Scarlatti,Q183087,https://www.wikidata.org/wiki/Q183087
9635,"/Persone/Scarlatti, Domenico (9635)",Domenico Scarlatti,Q167837,https://www.wikidata.org/wiki/Q167837
9636,"/Persone/Schumann, Robert (9636)",Robert Schumann,Q7351,https://www.wikidata.org/wiki/Q7351
9637,"/Persone/Spontini, Gaspare (9637)",Gaspare Spontini,Q168485,https://www.wikidata.org/wiki/Q168485
9638,"/Persone/Strauss, Johann (9638)",Johann Strauss III,Q28999,https://www.wikidata.org/wiki/Q28999
9639,"/Persone/Strauss, Richard (9639)",Richard Strauss,Q13894,https://www.wikidata.org/wiki/Q13894
9640,"/Persone/Stravinskij, Igor' (9640)",Igor Stravinsky,Q7314,https://www.wikidata.org/wiki/Q7314
9641,"/Persone/Verdi, Giuseppe (9641)",Giuseppe Verdi,Q7317,https://www.wikidata.org/wiki/Q7317
9642,"/Persone/Wagner, Richard (9642)",Richard Wagner,Q1511,https://www.wikidata.org/wiki/Q1511
9643,"/Persone/Wolf-Ferrari, Ermanno (9643)",Ermanno Wolf-Ferrari,Q57275,https://www.wikidata.org/wiki/Q57275
9644,"/Persone/Scribe, Eugène (9644)",Eugène Scribe,Q319261,https://www.wikidata.org/wiki/Q319261
9645,"/Persone/Balázs, Béla (9645)",Béla Balázs,Q469963,https://www.wikidata.org/wiki/Q469963
9646,"/Persone/Sonnleithner, Joseph Ferdinand von (9646)",Joseph Sonnleithner,Q86117,https://www.wikidata.org/wiki/Q86117
9647,"/Persone/Treitschke, Georg Friedrich (9647)",Georg Friedrich Treitschke,Q78038,https://www.wikidata.org/wiki/Q78038
9648,"/Persone/Romani, Felice (9648)",Felice Romani,Q350103,https://www.wikidata.org/wiki/Q350103
9649,"/Persone/Pepoli, Carlo (9649)",Alberto Arbasino,Q521191,https://www.wikidata.org/wiki/Q521191
9650,"/Persone/Hopf, Hans (9650)",Hans Hopf,Q78222,https://www.wikidata.org/wiki/Q78222
9651,"/Persone/Garner, Françoise (9651)",Françoise Garner,Q21511704,https://www.wikidata.org/wiki/Q21511704
9652,"/Persone/Resnik, Regina (9652)",Regina Resnik,Q435523,https://www.wikidata.org/wiki/Q435523
9653,"/Persone/Ludwig, Christa (9653)",Christa Ludwig,Q241005,https://www.wikidata.org/wiki/Q241005
9654,"/Persone/Edelmann, Otto (9654)",Otto Edelmann,Q84621,https://www.wikidata.org/wiki/Q84621
9655,"/Persone/Dondi, Dino (9655)",Dino Dondi,Q3707908,https://www.wikidata.org/wiki/Q3707908
9656,"/Persone/Kabaivanska, Raina (9656)",Raina Kabaivanska,Q265139,https://www.wikidata.org/wiki/Q265139
9657,"/Persone/De Palma, Piero (9657)",Piero de Palma,Q660654,https://www.wikidata.org/wiki/Q660654
9658,"/Persone/Gullino, Walter (9658)",Walter Gullino,Q95330256,https://www.wikidata.org/wiki/Q95330256
9659,"/Persone/Pavarotti, Luciano (9659)",Luciano Pavarotti,Q37615,https://www.wikidata.org/wiki/Q37615
9660,"/Persone/Cossotto, Fiorenza (9660)",Fiorenza Cossotto,Q238727,https://www.wikidata.org/wiki/Q238727
9661,"/Persone/Vinco, Ivo (9661)",Ivo Vinco,Q3804925,https://www.wikidata.org/wiki/Q3804925
9662,"/Persone/Maazel, Lorin (9662)",Lorin Maazel,Q117710,https://www.wikidata.org/wiki/Q117710
9663,"/Persone/Ferrin, Agostino (9663)",Agostino Ferrin,Q3606753,https://www.wikidata.org/wiki/Q3606753
9664,"/Persone/Scotto, Renata (9664)","Scotto, Renata",,
9665,"/Persone/Aragall, Giacomo (9665)",Giacomo Aragall,Q701353,https://www.wikidata.org/wiki/Q701353
9666,"/Persone/Vivaldi, Antonio (9666)",Antonio Vivaldi,Q1340,https://www.wikidata.org/wiki/Q1340
9667,"/Persone/Caroli, Paolo (9667)",Paolo Caroli,Q61474279,https://www.wikidata.org/wiki/Q61474279
9668,"/Persone/Rossi Lemeni, Nicola (9668)",Nicola Rossi-Lemeni,Q2268300,https://www.wikidata.org/wiki/Q2268300
9669,"/Persone/Corelli, Franco (9669)",Franco Corelli,Q313831,https://www.wikidata.org/wiki/Q313831
9670,"/Persone/Cava, Carlo (9670)",Carlo Cava,Q61474489,https://www.wikidata.org/wiki/Q61474489
9671,"/Persone/Carreras, José (9671)",José Carreras,Q485165,https://www.wikidata.org/wiki/Q485165
9672,"/Persone/Cillario, Carlo Felice (9672)",Carlo Felice Cillario,Q3659331,https://www.wikidata.org/wiki/Q3659331
9673,"/Persone/Ferraro, Piermiranda (9673)",Pier Miranda Ferraro,Q2092727,https://www.wikidata.org/wiki/Q2092727
9674,"/Persone/Rescigno, Nicola (9674)",Nicola Rescigno,Q281664,https://www.wikidata.org/wiki/Q281664
9675,"/Persone/Cappuccilli, Piero (9675)",Piero Cappuccilli,Q543158,https://www.wikidata.org/wiki/Q543158
9676,"/Persone/Raimondi, Ruggero (9676)",Ruggero Raimondi,Q950894,https://www.wikidata.org/wiki/Q950894
9677,"/Persone/Bruscantini, Sesto (9677)",Sesto Bruscantini,Q1101985,https://www.wikidata.org/wiki/Q1101985
9678,"/Persone/Panerai, Rolando (9678)",Rolando Panerai,Q1332423,https://www.wikidata.org/wiki/Q1332423
9679,"/Persone/Siepi, Cesare (9679)",Cesare Siepi,Q362132,https://www.wikidata.org/wiki/Q362132
9680,"/Persone/Tagliavini, Ferruccio (9680)",Ferruccio Tagliavini,Q332335,https://www.wikidata.org/wiki/Q332335
9681,"/Persone/Campi, Enrico (9681)",Enrico Campi,Q3725656,https://www.wikidata.org/wiki/Q3725656
9682,"/Persone/Zilio, Elena (9682)",Elena Zilio,Q52775312,https://www.wikidata.org/wiki/Q52775312
9683,"/Persone/Cioni, Renato (9683)",Renato Cioni,Q645008,https://www.wikidata.org/wiki/Q645008
9684,"/Persone/Trimarchi, Domenico (9684)",Domenico Trimarchi,Q21055401,https://www.wikidata.org/wiki/Q21055401
9685,"/Persone/Scarlini, Glauco (9685)",Glauco Scarlini,Q131776629,https://www.wikidata.org/wiki/Q131776629
9686,"/Persone/Sanzogno, Nino (9686)",Nino Sanzogno,Q1341007,https://www.wikidata.org/wiki/Q1341007
9687,"/Persone/Zambon, Amedeo (9687)",Amedeo Zambon,Q123255052,https://www.wikidata.org/wiki/Q123255052
9688,"/Persone/Shirley-Quirk, John (9688)",John Shirley-Quirk,Q326394,https://www.wikidata.org/wiki/Q326394
9689,"/Persone/Wailly, Léon de (9689)",Léon de Wailly,Q16999419,https://www.wikidata.org/wiki/Q16999419
9690,"/Persone/Barbier, Auguste (9690)",Henri Auguste Barbier,Q738494,https://www.wikidata.org/wiki/Q738494
9691,"/Persone/Ghiuselev, Nicolai (9691)",Nicola Ghiuselev,Q1366506,https://www.wikidata.org/wiki/Q1366506
9692,"/Persone/Pappas, George (9692)",George Pappas,Q2076348,https://www.wikidata.org/wiki/Q2076348
9693,"/Persone/Gandonnière, Almire (9693)",Almire Gandonnière,Q2839127,https://www.wikidata.org/wiki/Q2839127
9694,"/Persone/Nerval, Gérard de (9694)",جيرار دي نرفال,Q191305,https://www.wikidata.org/wiki/Q191305
9695,"/Persone/Daudet, Alphonse (9695)",Alphonse Daudet,Q228546,https://www.wikidata.org/wiki/Q228546
9696,"/Persone/Meilhac, Henri (9696)",Henri Meilhac,Q723648,https://www.wikidata.org/wiki/Q723648
9697,"/Persone/Freni, Mirella (9697)",Mirella Freni,Q231600,https://www.wikidata.org/wiki/Q231600
9698,"/Persone/Guelfi, Giangiacomo (9698)",Giangiacomo Guelfi,Q1522470,https://www.wikidata.org/wiki/Q1522470
9699,"/Persone/Gallet, Louis (9699)",Louis Gallet,Q1148209,https://www.wikidata.org/wiki/Q1148209
9700,"/Persone/Cormon, Eugène (9700)",Eugène Cormon,Q2000497,https://www.wikidata.org/wiki/Q2000497
9701,"/Persone/Carré, Michel (9701)",Michel Carré,Q602493,https://www.wikidata.org/wiki/Q602493
9702,"/Persone/Tebaldi, Renata (9702)",Renata Tebaldi,Q229179,https://www.wikidata.org/wiki/Q229179
9703,"/Persone/Danieli, Lucia (9703)",Lucia Danieli,Q16572972,https://www.wikidata.org/wiki/Q16572972
9704,"/Persone/Crozier, Eric (9704)",Eric Crozier,Q743679,https://www.wikidata.org/wiki/Q743679
9705,"/Persone/Slater, Montagu (9705)",Montagu Slater,Q3322378,https://www.wikidata.org/wiki/Q3322378
9706,"/Persone/Silovskij, Konstantin S. (9706)","Silovskij, Konstantin S.",,
9707,"/Persone/Zanardini, Angelo (9707)",Angelo Zanardini,Q3617278,https://www.wikidata.org/wiki/Q3617278
9708,"/Persone/Gaetani, Lorenzo (9708)",Lorenzo Gaetani,Q49686889,https://www.wikidata.org/wiki/Q49686889
9709,"/Persone/Guelfi, Piero (9709)",Piero Guelfi,Q3903270,https://www.wikidata.org/wiki/Q3903270
9710,"/Persone/Illica, Luigi (9710)",Luigi Illica,Q441843,https://www.wikidata.org/wiki/Q441843
9711,"/Persone/Gardino, Jolanda (9711)",Jolanda Gardino,Q3809782,https://www.wikidata.org/wiki/Q3809782
9712,"/Persone/Marimpietri, Lydia (9712)","Marimpietri, Lydia",,
9713,"/Persone/Mariotti, Alfredo (9713)",Alfredo Mariotti,Q3611438,https://www.wikidata.org/wiki/Q3611438
9714,"/Persone/Jouy, Victor-Joseph Étienne de (9714)",Victor-Joseph Étienne de Jouy,Q204889,https://www.wikidata.org/wiki/Q204889
9715,"/Persone/Natali, Valiano (9715)",Valiano Natali,Q76270606,https://www.wikidata.org/wiki/Q76270606
9716,"/Persone/Giulini, Carlo Maria (9716)",Carlo Maria Giulini,Q430829,https://www.wikidata.org/wiki/Q430829
9717,"/Persone/Ganzarolli, Wladimiro (9717)",Wladimiro Ganzarolli,Q8028908,https://www.wikidata.org/wiki/Q8028908
9718,"/Persone/Montarsolo, Paolo (9718)",Paolo Montarsolo,Q2420379,https://www.wikidata.org/wiki/Q2420379
9719,"/Persone/Carbonari, Virgilio (9719)",Virgilio Carbonari,Q4013901,https://www.wikidata.org/wiki/Q4013901
9720,"/Persone/Santunione, Orianna (9720)",Orianna Santunione,Q16584372,https://www.wikidata.org/wiki/Q16584372
9721,"/Persone/Borgonovo, Otello (9721)","Borgonovo, Otello",,
9722,"/Persone/Ligabue, Ilva (9722)",Ilva Ligabue,Q509327,https://www.wikidata.org/wiki/Q509327
9723,"/Persone/Hoffman, François-Benôit (9723)",François-Benoît Hoffman,Q539301,https://www.wikidata.org/wiki/Q539301
9724,"/Persone/Gardelli, Lamberto (9724)",Lamberto Gardelli,Q242029,https://www.wikidata.org/wiki/Q242029
9725,"/Persone/Colautti, Arturo (9725)",Arturo Colautti,Q1628725,https://www.wikidata.org/wiki/Q1628725
9726,"/Persone/Olivero, Magda (9726)",Magda Olivero,Q265740,https://www.wikidata.org/wiki/Q265740
9727,"/Persone/Marenco, Leopoldo (9727)",Leopoldo Marenco,Q3830705,https://www.wikidata.org/wiki/Q3830705
9728,"/Persone/Protti, Aldo (9728)",Aldo Protti,Q377212,https://www.wikidata.org/wiki/Q377212
9729,"/Persone/Zerbini, Antonio (9729)",Antonio Zerbini,Q3620342,https://www.wikidata.org/wiki/Q3620342
9730,"/Persone/Alva, Luigi (9730)",Luigi Alva,Q548054,https://www.wikidata.org/wiki/Q548054
9731,"/Persone/Petrosellini, Giuseppe (9731)",Giuseppe Petrosellini,Q3771211,https://www.wikidata.org/wiki/Q3771211
9732,"/Persone/Bertati, Giovanni (9732)",Giovanni Bertati,Q454112,https://www.wikidata.org/wiki/Q454112
9733,"/Persone/Badioli, Carlo (9733)",Carlo Badioli,Q28971590,https://www.wikidata.org/wiki/Q28971590
9734,"/Persone/Gondinet, Edmond (9734)",Edmond Gondinet,Q719997,https://www.wikidata.org/wiki/Q719997
9735,"/Persone/Gille, Philippe (9735)",Philippe Gille,Q610921,https://www.wikidata.org/wiki/Q610921
9736,"/Persone/Browning, Lucielle (9736)",Lucielle Browning,Q60831149,https://www.wikidata.org/wiki/Q60831149
9737,"/Persone/Ferretti, Jacopo (9737)",Jacopo Ferretti,Q659749,https://www.wikidata.org/wiki/Q659749
9738,"/Persone/Benelli, Ugo (9738)",Ugo Benelli,Q4002749,https://www.wikidata.org/wiki/Q4002749
9739,"/Persone/Fusco, Cecilia (9739)",Cecilia Fusco,Q3664107,https://www.wikidata.org/wiki/Q3664107
9740,"/Persone/Gencer, Leyla (9740)",Leylâ Gencer,Q242334,https://www.wikidata.org/wiki/Q242334
9741,"/Persone/Carlin, Mario (9741)",Mario Carlin,Q3848413,https://www.wikidata.org/wiki/Q3848413
9742,"/Persone/Cammarano, Salvatore (9742)",Salvadore Cammarano,Q343560,https://www.wikidata.org/wiki/Q343560
9743,"/Persone/Taddei, Giuseppe (9743)",Giuseppe Taddei,Q471393,https://www.wikidata.org/wiki/Q471393
9744,"/Persone/Pecile, Mirna (9744)",Mirna Pecile,Q133705681,https://www.wikidata.org/wiki/Q133705681
9745,"/Persone/Grilli, Umberto (9745)",Umberto Grilli,Q28801835,https://www.wikidata.org/wiki/Q28801835
9746,"/Persone/Rinaldi, Alberto (9746)",Alberto Rinaldi,Q17562070,https://www.wikidata.org/wiki/Q17562070
9747,"/Persone/Gracis, Ettore (9747)",Ettore Gracis,Q3059393,https://www.wikidata.org/wiki/Q3059393
9748,"/Persone/Ruffini, Giovanni (9748)",Giovanni Ruffini,Q478030,https://www.wikidata.org/wiki/Q478030
9749,"/Persone/Molinari Pradelli, Francesco (9749)",Francesco Molinari-Pradelli,Q1355975,https://www.wikidata.org/wiki/Q1355975
9750,"/Persone/Basiola, Mario (9750)",Mario Basiola,Q3848321,https://www.wikidata.org/wiki/Q3848321
9751,"/Persone/Carteri, Rosanna (9751)",Rosanna Carteri,Q3442273,https://www.wikidata.org/wiki/Q3442273
9752,"/Persone/Royer, Alphonse (9752)",Alphonse Royer,Q2839965,https://www.wikidata.org/wiki/Q2839965
9753,"/Persone/Vaëz, Gustave (9753)",Gustave Vaëz,Q387886,https://www.wikidata.org/wiki/Q387886
9754,"/Persone/Barbieri, Fedora (9754)",Fedora Barbieri,Q266097,https://www.wikidata.org/wiki/Q266097
9755,"/Persone/Vernoy de Saint-Georges, Jules-Henry (9755)",Jules Henry Vernoy de Saint-George,Q133506874,https://www.wikidata.org/wiki/Q133506874
9756,"/Persone/Bayard, Jean-François-Alfred (9756)",Jean-François Bayard,Q2074119,https://www.wikidata.org/wiki/Q2074119
9757,"/Persone/Rossi, Gaetano (9757)",Gaetano Rossi,Q1491039,https://www.wikidata.org/wiki/Q1491039
9758,"/Persone/Ariè, Raffaele (9758)",Raffaele Arié,Q3929005,https://www.wikidata.org/wiki/Q3929005
9759,"/Persone/Casellato, Renzo (9759)",Renzo Casellato,Q17430556,https://www.wikidata.org/wiki/Q17430556
9760,"/Persone/Verrett, Shirley (9760)",Shirley Verrett,Q258228,https://www.wikidata.org/wiki/Q258228
9761,"/Persone/Tagger, Nicola (9761)",Nicola Tagger,Q3876373,https://www.wikidata.org/wiki/Q3876373
9762,"/Persone/Colzani, Anselmo (9762)",Anselmo Colzani,Q326121,https://www.wikidata.org/wiki/Q326121
9763,"/Persone/Gimenez, Eduardo (9763)",Eduard Giménez i Gràcia,Q19256719,https://www.wikidata.org/wiki/Q19256719
9764,"/Persone/Meneguzzer, Jolanda (9764)",Jolanda Meneguzzer,Q102288358,https://www.wikidata.org/wiki/Q102288358
9765,"/Persone/Andreolli, Florindo (9765)","Andreolli, Florindo",,
9766,"/Persone/Cattini, Umberto (9766)",Umberto Cattini,Q43423677,https://www.wikidata.org/wiki/Q43423677
9767,"/Persone/Pontiggia, Luigi (9767)",Luigi Pontiggia,Q110225908,https://www.wikidata.org/wiki/Q110225908
9768,"/Persone/Davia, Federico (9768)",Federico Davià,Q110040344,https://www.wikidata.org/wiki/Q110040344
9769,"/Persone/Bondino, Ruggero (9769)",Ruggero Bondino,Q112476235,https://www.wikidata.org/wiki/Q112476235
9770,"/Persone/Glossop, Peter (9770)",Peter Glossop,Q3376610,https://www.wikidata.org/wiki/Q3376610
9771,"/Persone/Dvorák, Antonín (9771)",Antonín Dvořák,Q7298,https://www.wikidata.org/wiki/Q7298
9772,"/Persone/Kvapil, Jaroslav (9772)",Jaroslav Kvapil,Q709658,https://www.wikidata.org/wiki/Q709658
9773,"/Persone/Forzano, Giovacchino (9773)",Giovacchino Forzano,Q931657,https://www.wikidata.org/wiki/Q931657
9774,"/Persone/Friedrich, Wilhelm (9774)","Friedrich Wilhelm, Duke of Brunswick-Wolfenbüttel",Q62029,https://www.wikidata.org/wiki/Q62029
9775,"/Persone/Rizzieri, Elena (9775)",Elena Rizzieri,Q25768249,https://www.wikidata.org/wiki/Q25768249
9776,"/Persone/Bettarini, Luciano (9776)",Luciano Bettarini,Q3838531,https://www.wikidata.org/wiki/Q3838531
9777,"/Persone/Goldoni, Carlo (9777)",Carlo Goldoni,Q165534,https://www.wikidata.org/wiki/Q165534
9778,"/Persone/Heyward, Du Bose (9778)",DuBose Heyward,Q2382900,https://www.wikidata.org/wiki/Q2382900
9779,"/Persone/Gershwin, Ira (9779)",Ira Gershwin,Q61059,https://www.wikidata.org/wiki/Q61059
9780,"/Persone/Bechi, Gino (9780)",Gino Bechi,Q1386459,https://www.wikidata.org/wiki/Q1386459
9781,"/Persone/Tajo, Italo (9781)",Italo Tajo,Q3155890,https://www.wikidata.org/wiki/Q3155890
9782,"/Persone/Sordello, Enzo (9782)",Enzo Sordello,Q5381526,https://www.wikidata.org/wiki/Q5381526
9783,"/Persone/Di Stasio, Anna (9783)",Anna Di Stasio,Q28542226,https://www.wikidata.org/wiki/Q28542226
9784,"/Persone/Benelli, Sem (9784)","Benelli, Sem",,
9785,"/Persone/Simoni, Renato (9785)",Renato Simoni,Q3424835,https://www.wikidata.org/wiki/Q3424835
9786,"/Persone/Casals, Margherita (9786)","Casals, Margherita",,
9787,"/Persone/Markevitch, Igor (9787)",Igor Markevitch,Q503355,https://www.wikidata.org/wiki/Q503355
9788,"/Persone/Calzabigi, Ranieri de' (9788)",Ranieri de' Calzabigi,Q1310912,https://www.wikidata.org/wiki/Q1310912
9789,"/Persone/Guillard, Nicolas-François (9789)",Nicolas-François Guillard,Q3339962,https://www.wikidata.org/wiki/Q3339962
9790,"/Persone/Davy, Gloria (9790)",Gloria Davy,Q1532072,https://www.wikidata.org/wiki/Q1532072
9791,"/Persone/Tosti, Francesco Paolo (9791)",Francesco Paolo Tosti,Q469467,https://www.wikidata.org/wiki/Q469467
9792,"/Persone/Arditi, Luigi (9792)",Luigi Arditi,Q918479,https://www.wikidata.org/wiki/Q918479
9793,"/Persone/Mosenthal, Salomon Hermann von (9793)",Salomon Hermann Mosenthal,Q2214998,https://www.wikidata.org/wiki/Q2214998
9794,"/Persone/Ghislanzoni, Antonio (9794)",Antonio Ghislanzoni,Q524960,https://www.wikidata.org/wiki/Q524960
9795,"/Persone/D'Angelo, Gianna (9795)",Gianna D'Angelo,Q3105243,https://www.wikidata.org/wiki/Q3105243
9796,"/Persone/Barbier, Jules (9796)",Jules Barbier,Q548181,https://www.wikidata.org/wiki/Q548181
9797,"/Persone/Granados, Enrique (9797)",Enrique Granados,Q294225,https://www.wikidata.org/wiki/Q294225
9798,"/Persone/Gay, John (9798)",John Gay,Q321660,https://www.wikidata.org/wiki/Q321660
9799,"/Persone/Bussani, Giacomo Francesco (9799)",Giacomo Francesco Bussani,Q3105052,https://www.wikidata.org/wiki/Q3105052
9800,"/Persone/Haym, Nicola Francesco (9800)",Nicola Francesco Haym,Q1986170,https://www.wikidata.org/wiki/Q1986170
9801,"/Persone/Handt, Herbert (9801)",Herbert Handt,Q23303077,https://www.wikidata.org/wiki/Q23303077
9802,"/Persone/Jennens, Charles (9802)",Charles Jennens,Q1065074,https://www.wikidata.org/wiki/Q1065074
9803,"/Persone/Rossi, Giacomo (9803)",Giacomo Rossi,Q2076729,https://www.wikidata.org/wiki/Q2076729
9804,"/Persone/Congreve, William (9804)",William Congreve,Q366805,https://www.wikidata.org/wiki/Q366805
9805,"/Persone/Swieten, Gottfried Bernhard van (9805)",Gottfried van Swieten,Q549419,https://www.wikidata.org/wiki/Q549419
9806,"/Persone/Claudel, Paul (9806)",Paul Claudel,Q295830,https://www.wikidata.org/wiki/Q295830
9807,"/Persone/Wette, Adelheid (9807)",Adelheid Wette,Q354730,https://www.wikidata.org/wiki/Q354730
9808,"/Persone/Preissová, Gabriela (9808)",Gabriela Preissová,Q276615,https://www.wikidata.org/wiki/Q276615
9809,"/Persone/Blachut, Beno (9809)",Beno Blachut,Q4890079,https://www.wikidata.org/wiki/Q4890079
9810,"/Persone/Kalaš, Karel (9810)",Karel Kalaš,Q6369313,https://www.wikidata.org/wiki/Q6369313
9811,"/Persone/Domanínská, Libuše (9811)",Libuše Domanínská,Q6542799,https://www.wikidata.org/wiki/Q6542799
9812,"/Persone/Vernizzi, Fulvio (9812)",Fulvio Vernizzi,Q3754332,https://www.wikidata.org/wiki/Q3754332
9813,"/Persone/Sacchi, Franca (9813)",Franca Sacchi,Q112461178,https://www.wikidata.org/wiki/Q112461178
