id,fullpath,dcTitle,entity,uri
32850,"/Persone/Mariani, Marco (32850)",Marco Mariani,Q142045,https://www.wikidata.org/wiki/Q142045
32851,"/Persone/Galvez, Nicoletta (32851)","Galvez, Nicoletta",,
32858,"/Persone/Angelini, Raffaello (32858)","Angelini, Raffaello",,
32859,"/Persone/Baldi, Francesco (32859)",Francesco Baldi,Q22806767,https://www.wikidata.org/wiki/Q22806767
32860,"/Persone/De Laurentis, Antonio (32860)","De Laurentis, Antonio",,
32861,"/Persone/Marulli, Giovanni (32861)","Marulli, Giovanni",,
32862,"/Persone/Paolucci, Massimo (32862)",Massimo Paolucci,Q15162091,https://www.wikidata.org/wiki/Q15162091
32863,"/Persone/Rendine, Sergio (32863)",Sergio Rendine,Q961167,https://www.wikidata.org/wiki/Q961167
32864,"/Persone/Sabatino, Servilio (32864)","Sabatino, Servilio",,
32865,"/Persone/Tarquinio, Gianluca (32865)","Tarquinio, Gianluca",,
32866,"/Persone/Rotundi, Maurizio (32866)",Maurizio Rotundi,Q23062554,https://www.wikidata.org/wiki/Q23062554
32869,"/Persone/Dalmasso, Irene (32869)","Dalmasso, Irene",,
32870,"/Persone/Gizzi, Alessandra (32870)","Gizzi, Alessandra",,
32871,"/Persone/Argentieri, Giacinta (32871)","Argentieri, Giacinta",,
32872,"/Persone/Cianciaruso, Dante (32872)","Cianciaruso, Dante",,
32873,"/Persone/Montano Renzini, Giulio (32873)","Montano Renzini, Giulio",,
32874,"/Persone/Bosio, Gianni (32874)",Gianni Bosio,Q3763458,https://www.wikidata.org/wiki/Q3763458
32875,"/Persone/Cavazzoni, Germano (32875)","Cavazzoni, Germano",,
32876,"/Persone/Hernandez, Oscar (32876)",Óscar Hernández,Q293384,https://www.wikidata.org/wiki/Q293384
32877,"/Persone/Fanticini, Fabrizio (32877)",Fabrizio Fanticini,Q94418270,https://www.wikidata.org/wiki/Q94418270
32878,"/Persone/Cattaneo, Pier Alberto (32878)","Cattaneo, Pier Alberto",,
32879,"/Persone/Paderni, Massimo (32879)","Paderni, Massimo",,
32880,"/Persone/Mascheretti, Giuseppina (32880)","Mascheretti, Giuseppina",,
32881,"/Persone/Boninsegna, Guido (32881)","Boninsegna, Guido",,
32882,"/Persone/Ariani, Livio (32882)","Ariani, Livio",,
32883,"/Persone/Lootgieter, Charlotte (32883)","Lootgieter, Charlotte",,
32884,"/Persone/Rossi, Vanna (32884)","Rossi, Vanna",,
32887,"/Persone/Scefkenova, Olga (32887)","Scefkenova, Olga",,
32888,"/Persone/Straub, Jean-Marie (32888)",Jean-Marie Straub,Q20747245,https://www.wikidata.org/wiki/Q20747245
32889,"/Persone/Zivoni, Yossef (32889)","Zivoni, Yossef",,
32890,"/Persone/Marchesi, Gustavo (32890)",Gustavo Marchesi,Q112449236,https://www.wikidata.org/wiki/Q112449236
32891,"/Persone/Kulinski, Bohumil (32891)","Kulinski, Bohumil",,
32892,"/Persone/Oelschlegel, Vera (32892)",Vera Oelschlegel,Q286302,https://www.wikidata.org/wiki/Q286302
32894,"/Persone/Stenzl, Jurg (32894)",Jürg Stenzl,Q1716929,https://www.wikidata.org/wiki/Q1716929
32895,"/Persone/Moneta, Tiziana (32895)","Moneta, Tiziana",,
32897,"/Persone/Ferrero, Pier Francesco (32897)",Pier Francesco Ferrero,Q377285,https://www.wikidata.org/wiki/Q377285
32899,"/Persone/Persichilli, Angelo (32899)",Angelo Persichilli,Q2849491,https://www.wikidata.org/wiki/Q2849491
32900,"/Persone/Bernardi, Paola (32900)",Paola Bernardi,Q50322961,https://www.wikidata.org/wiki/Q50322961
32901,"/Persone/Parmentola, Carlo (32901)","Parmentola, Carlo",,
32904,"/Persone/Borchert, Wolfgang (32904)",Wolfgang Borchert,Q58799,https://www.wikidata.org/wiki/Q58799
32906,"/Persone/Bertinetti, Vera (32906)","Bertinetti, Vera",,
32907,"/Persone/Cavicchi, Adriano (32907)",Adriano Cavicchi,Q3605709,https://www.wikidata.org/wiki/Q3605709
32908,"/Persone/Tozzi, Lorenzo (32908)",Lorenzo Tozzi,Q59695411,https://www.wikidata.org/wiki/Q59695411
32909,"/Persone/Rinaldi, Mario (32909)",Mario Rinaldi,Q3820052,https://www.wikidata.org/wiki/Q3820052
32911,"/Persone/Gallo, Raffaello (32911)","Gallo, Raffaello",,
32915,"/Persone/Conati, Marcello (32915)",Marcello Conati,Q131776132,https://www.wikidata.org/wiki/Q131776132
32916,"/Persone/Marothy, Janos (32916)",János Maróthy,Q1166287,https://www.wikidata.org/wiki/Q1166287
32917,"/Persone/Schneider, Frank (32917)",Frank Schneider,Q1430644,https://www.wikidata.org/wiki/Q1430644
32918,"/Persone/Waterhouse, John (32918)",John William Waterhouse,Q212754,https://www.wikidata.org/wiki/Q212754
32919,"/Persone/Orselli, Cesare (32919)",Cesare Orselli,Q112444526,https://www.wikidata.org/wiki/Q112444526
32920,"/Persone/Dalmonte, Rossana (32920)",Rossana Dalmonte,Q93248300,https://www.wikidata.org/wiki/Q93248300
32921,"/Persone/Livio, Luigi (32921)",Giorgio Colli,Q1525438,https://www.wikidata.org/wiki/Q1525438
32922,"/Persone/Sablich, Sergio (32922)",Sergio Sablich,Q78162596,https://www.wikidata.org/wiki/Q78162596
32925,"/Persone/Davico Bonino, Guido (32925)",Guido Davico Bonino,Q3779251,https://www.wikidata.org/wiki/Q3779251
32927,"/Persone/Ibrahim, Abdullah (32927)",Abdullah Ibrahim,Q317677,https://www.wikidata.org/wiki/Q317677
32928,"/Persone/Ward, Carlos (32928)",Carlos Ward,Q346107,https://www.wikidata.org/wiki/Q346107
32929,"/Persone/Mumford, Don (32929)",Don Mumford,Q1239356,https://www.wikidata.org/wiki/Q1239356
32930,"/Persone/Essiet, Okun Essiet (32930)","Essiet, Okun Essiet",,
32934,"/Persone/Barthelemy, Claude (32934)",Claude Barthélémy,Q1096471,https://www.wikidata.org/wiki/Q1096471
32935,"/Persone/Steckar, Marc (32935)",Marc Steckar,Q1892818,https://www.wikidata.org/wiki/Q1892818
32936,"/Persone/Pullen, Don (32936)",Don Pullen,Q1239442,https://www.wikidata.org/wiki/Q1239442
32937,"/Persone/Melis, Marcello (32937)",Marcello Melis,Q3845639,https://www.wikidata.org/wiki/Q3845639
32938,"/Persone/Moye, Don (32938)",Don Moye,Q358599,https://www.wikidata.org/wiki/Q358599
32939,"/Persone/Urbani, Maurizio (32939)","Urbani, Maurizio",,
32941,"/Persone/Morini, Mario (32941)",Mario Morini,Q19357789,https://www.wikidata.org/wiki/Q19357789
32943,"/Persone/Busignani, Franco (32943)","Busignani, Franco",,
32945,"/Persone/Aschengreen, Eric (32945)","Aschengreen, Eric",,
32946,"/Persone/Norling, Ole (32946)",Ole Norling-Christensen,Q110693377,https://www.wikidata.org/wiki/Q110693377
32947,"/Persone/Agostini, Alfio (32947)","Agostini, Alfio",,
32948,"/Persone/Crabb, Michael (32948)",Michael Crabb,Q94540254,https://www.wikidata.org/wiki/Q94540254
32950,"/Persone/Marinelli, Carlo (32950)",Carlo Marinelli,Q3659588,https://www.wikidata.org/wiki/Q3659588
32951,"/Persone/Kisselgoff, Anna (32951)",Anna Kisselgoff,Q4767165,https://www.wikidata.org/wiki/Q4767165
32952,"/Persone/Verti, Roberto (32952)","Verti, Roberto",,
32953,"/Persone/Allegri, Giuliana (32953)","Allegri, Giuliana",,
32954,"/Persone/Domenichini, Paolo (32954)","Domenichini, Paolo",,
32955,"/Persone/Sacchetti, Ivan (32955)","Sacchetti, Ivan",,
32956,"/Persone/Degani, Giannino (32956)",Giannino Degani,Q59532766,https://www.wikidata.org/wiki/Q59532766
32957,"/Persone/Farri, Stanislao (32957)",Stanislao Farri,Q107327347,https://www.wikidata.org/wiki/Q107327347
32960,"/Persone/Voigt, H. (32960)",H. Voigt,Q83287138,https://www.wikidata.org/wiki/Q83287138
32962,"/Persone/Guillaume, Albert (32962)",Albert Guillaume,Q2413110,https://www.wikidata.org/wiki/Q2413110
32965,"/Persone/Filippi, Simone (32965)",Simone Filippi aus Pistoia,Q96115467,https://www.wikidata.org/wiki/Q96115467
32966,"/Persone/Nove, Aldo (32966)",Aldo Nove,Q1131932,https://www.wikidata.org/wiki/Q1131932
32967,"/Persone/Rentocchini, Emilio (32967)",Emilio Rentocchini,Q3724502,https://www.wikidata.org/wiki/Q3724502
32970,"/Persone/Pallecchi, Alessandro (32970)","Pallecchi, Alessandro",,
32971,"/Persone/Mazzola, Francesco (32971)",Parmigianino,Q9348,https://www.wikidata.org/wiki/Q9348
32972,"/Persone/Bougerol, Justine (32972)","Bougerol, Justine",,
32973,"/Persone/Tikovsky, Lulu (32973)","Tikovsky, Lulu",,
32974,"/Persone/Liu, Yi-Chun (32974)",Liu Chun-yi,Q8991560,https://www.wikidata.org/wiki/Q8991560
32975,"/Persone/Lopez Le Galliard, Nina (32975)","Lopez Le Galliard, Nina",,
32976,"/Persone/Rognvaldsson, Hjorvar (32976)",Hjorvar Rognvaldsson,Q52835200,https://www.wikidata.org/wiki/Q52835200
32977,"/Persone/Frohlich, Annalena (32977)","Frohlich, Annalena",,
32978,"/Persone/Gao, Fhun (32978)","Gao, Fhun",,
32979,"/Persone/Oliva, Lucia (32979)",Lucia Oliva,Q63974385,https://www.wikidata.org/wiki/Q63974385
32980,"/Persone/Tula, Juan Ignacio (32980)","Tula, Juan Ignacio",,
32981,"/Persone/Kinsman, Stefan (32981)","Kinsman, Stefan",,
32982,"/Persone/Leroy, Fabrice Ilia (32982)","Leroy, Fabrice Ilia",,
32983,"/Persone/Cusenier, Jeremie (32983)","Cusenier, Jeremie",,
32985,"/Persone/Papadopoulos, Christos (32985)",Christos Papadopoulos,Q16221966,https://www.wikidata.org/wiki/Q16221966
32986,/Persone/Coti K (32986),Coti K,Q20551597,https://www.wikidata.org/wiki/Q20551597
32987,"/Persone/Koukoutas, Tassos (32987)","Koukoutas, Tassos",,
32988,"/Persone/Therianou, Evangelia (32988)","Therianou, Evangelia",,
32989,"/Persone/Mentis, Angelos (32989)",Aggelos Mentis,Q60934118,https://www.wikidata.org/wiki/Q60934118
32990,"/Persone/Palaioroutas, Tasos (32990)",Tasos Palaioroutas,Q61335200,https://www.wikidata.org/wiki/Q61335200
32992,"/Persone/Bregianni, Maria (32992)","Bregianni, Maria",,
32993,"/Persone/Nouskas Varelas, Alexandros (32993)","Nouskas Varelas, Alexandros",,
32994,"/Persone/Gagoulou, Nanti (32994)","Gagoulou, Nanti",,
32995,"/Persone/Kosma, Amalia (32995)","Kosma, Amalia",,
32996,"/Persone/Kotsali, Chara (32996)",Chara Kotsali,Q61358688,https://www.wikidata.org/wiki/Q61358688
32997,"/Persone/Mertzani, Dimitra (32997)","Mertzani, Dimitra",,
32998,"/Persone/Moschopoulos, Efthymis (32998)","Moschopoulos, Efthymis",,
32999,"/Persone/Paraskevopoulou, Ioanna (32999)","Paraskevopoulou, Ioanna",,
33000,"/Persone/Tsiamoglou, Alexis (33000)","Tsiamoglou, Alexis",,
33001,"/Persone/Belgiojoso, Ricciarda (33001)",Ricciarda Barbiano di Belgiojoso,Q133601565,https://www.wikidata.org/wiki/Q133601565
33002,"/Persone/Helstroffer, Bruno (33002)",Bruno Helstroffer,Q134588236,https://www.wikidata.org/wiki/Q134588236
33003,"/Persone/Siringo, Antonio (33003)",Paolo Antonio Del Nero,Q23011800,https://www.wikidata.org/wiki/Q23011800
33004,"/Persone/Pisetta, Stefano (33004)",Stefano Pisetta,Q3972652,https://www.wikidata.org/wiki/Q3972652
33006,"/Persone/Mandia, Roberto (33006)","Mandia, Roberto",,
33007,"/Persone/De Tassis, Mariano (33007)","De Tassis, Mariano",,
33008,"/Persone/Siegal, Richard (33008)",Richard Siegal,Q27916330,https://www.wikidata.org/wiki/Q27916330
33009,"/Persone/Staab, Tobias (33009)",Tobias Staab,Q52907383,https://www.wikidata.org/wiki/Q52907383
33010,"/Persone/Miranda, Flora (33010)",Flora Miranda,Q76986733,https://www.wikidata.org/wiki/Q76986733
33011,"/Persone/Singer, Matthias (33011)",Matthias Singer,Q135379702,https://www.wikidata.org/wiki/Q135379702
33015,"/Persone/Riccardi, Davide (33015)",Davide Riccardi,Q3703607,https://www.wikidata.org/wiki/Q3703607
33017,"/Persone/Faoro, Laura (33017)","Faoro, Laura",,
33019,"/Persone/Calì, S. (33019)",İhsan ÇaliŞ,Q97419992,https://www.wikidata.org/wiki/Q97419992
33025,"/Persone/Infantino, Monica (33025)","Infantino, Monica",,
33026,"/Persone/Tallevi, Paolo (33026)","Tallevi, Paolo",,
33027,/Persone/Simion (33027),Simeon G. Murafa,Q7517591,https://www.wikidata.org/wiki/Q7517591
33028,"/Persone/Cutini, R. (33028)","Cutini, R.",,
33029,/Persone/Giaccone (33029),Giuseppe Giaccone,Q21513963,https://www.wikidata.org/wiki/Q21513963
33030,/Persone/Pandolfini (33030),Egisto Pandolfini,Q1298064,https://www.wikidata.org/wiki/Q1298064
33034,/Persone/Mione (33034),Thomas Mione,Q13420699,https://www.wikidata.org/wiki/Q13420699
33040,"/Persone/Battaglini, P. (33040)",Piero Paolo Battaglini,Q94870204,https://www.wikidata.org/wiki/Q94870204
33044,"/Persone/Bertolini, Lidia (33044)","Bertolini, Lidia",,
33045,"/Persone/Scialoja, Toti (33045)",Toti Scialoja,Q2445805,https://www.wikidata.org/wiki/Q2445805
33046,"/Persone/Ludwig, Wolf-Dieter (33046)",Wolf-Dieter Ludwig,Q89510993,https://www.wikidata.org/wiki/Q89510993
33047,"/Persone/Schneider-Siemssen, Günther (33047)",Günther Schneider-Siemssen,Q1561812,https://www.wikidata.org/wiki/Q1561812
33048,"/Persone/Reiter, Ronny (33048)","Reiter, Ronny",,
33049,"/Persone/Rech, Géza (33049)",Géza Rech,Q94830331,https://www.wikidata.org/wiki/Q94830331
33050,"/Persone/Aicher, Friedl (33050)","Aicher, Friedl",,
33051,"/Persone/Müller, Bernd-Dieter (33051)","Müller, Bernd-Dieter",,
33052,"/Persone/Franzoni, Lorenza (33052)","Franzoni, Lorenza",,
33053,"/Persone/Morari, Elvezio (33053)","Morari, Elvezio",,
33054,"/Persone/Tagliati, Rossana (33054)","Tagliati, Rossana",,
33055,"/Persone/Alimenti, Anna (33055)","Alimenti, Anna",,
33056,"/Persone/Di Nita, Paolo (33056)","Di Nita, Paolo",,
33057,"/Persone/Carrara, Armando (33057)",Gaspero Bencini,Q100722094,https://www.wikidata.org/wiki/Q100722094
33058,"/Persone/Parmentier, Thierry (33058)",Thierry Parmentier,Q33143961,https://www.wikidata.org/wiki/Q33143961
33059,"/Persone/Pittarello, Martina (33059)","Pittarello, Martina",,
33060,"/Persone/Battaglia, Stefania (33060)",Stefania Battaglia,Q136450306,https://www.wikidata.org/wiki/Q136450306
33061,"/Persone/Chiti, Jonathan (33061)","Chiti, Jonathan",,
33062,"/Persone/Saturnini, Stefano (33062)","Saturnini, Stefano",,
33063,"/Persone/Natalucci, Marco (33063)","Natalucci, Marco",,
33064,"/Persone/Corti, Patrizia (33064)","Corti, Patrizia",,
33065,"/Persone/Coccheri, Manola (33065)","Coccheri, Manola",,
33066,"/Persone/Mercatelli, Cosetta (33066)","Mercatelli, Cosetta",,
33067,"/Persone/Enrichi, Barbara (33067)",Barbara Enrichi,Q3634619,https://www.wikidata.org/wiki/Q3634619
